Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Negative feedback from users: Hide all,Total clicks,Other Clicks,Matched Audience Targeting Consumption (Photo Click),Link Clicks,Approximate content monetization earnings,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Negative feedback from users: Hide,Matched Audience Targeting Consumption (Video Click),publish_datetime,month
122152719944762707,61572881214141,Juan365,"Congratulations sa 10 lucky Juankada! Enjoy your 300 FREE Juan365 Credits!

Follow Juan365 para updated ka sa mga susunod na ganap!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","Congratulations sa 10 lucky Juankada! Enjoy your 300 FREE Juan365 Credits!

Follow Juan365 para updated ka sa mga susunod na ganap!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",15,08/30/2025 01:01,,https://www.facebook.com/Juan365officialpage/videos/728292093709219/,1,0,Videos,,,,,Lifetime,55738.0,50491.0,2012.0,1316.0,597.0,99.0,,2544.0,2538.0,,6.0,0.14,209402.042,4.489,0.0,,,2025-08-30 01:01:00,2025-08
122152700108762707,61572881214141,Juan365,"Lakas, diskarte, at pampaswerte.
Sa Glory of Rome, ikaw ang mandirigma sa reels! ⚔️🏛️
Conquer the spin and feel the glory! ✨

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #GforEveryJuan","Lakas, diskarte, at pampaswerte.
Sa Glory of Rome, ikaw ang mandirigma sa reels! ⚔️🏛️
Conquer the spin and feel the glory! ✨

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #GforEveryJuan",23,08/29/2025 22:00,,https://www.facebook.com/Juan365officialpage/videos/806195798633894/,1,0,Videos,,,,,Lifetime,10848.0,13154.0,498.0,343.0,109.0,46.0,,287.0,286.0,,1.0,0.04,39058.237,4.233,0.0,,,2025-08-29 22:00:00,2025-08
122152687796762707,61572881214141,Juan365,"Congratulations, James Reid! 
Muling magbabalik sa Primetime nag i-isang Multimedia Prince ng bayan. 
All-out support ang Juan365 Family sa bagong kwento at kilig na hatid mo gabi-gabi, James! 💖🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,08/29/2025 20:00,,https://www.facebook.com/Juan365officialpage/posts/pfbid02zJwS3c5XwsgEJRizBC328sgRRirV48H4Et2G567yKDQ4NL4dfszeXSCJAqY5MTFhl,0,0,Photos,,,,,Lifetime,63442.0,34600.0,946.0,546.0,354.0,46.0,10.0,1237.0,992.0,129.0,116.0,0.92,,,,3.0,,2025-08-29 20:00:00,2025-08
122152670804762707,61572881214141,Juan365,"Simula na ng masayang season! Ready ka na ba sa mas exciting na laro, Juankada? 🎄🎅

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","Simula na ng masayang season! Ready ka na ba sa mas exciting na laro, Juankada? 🎄🎅

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",10,08/29/2025 18:00,,https://www.facebook.com/Juan365officialpage/videos/4417404635156583/,1,0,Videos,,,,,Lifetime,17023.0,17324.0,582.0,399.0,152.0,31.0,,304.0,282.0,,22.0,0.0,41438.133,2.846,0.0,,,2025-08-29 18:00:00,2025-08
122152651682762707,61572881214141,Juan365,"📢 BancNet Advisory

As of 4:30 AM, BancNet has confirmed that services are officially back to normal.

✅ You may now:

Send money to other banks via Bank Transfer

Pay via QRPh using the GCash app

To ensure a smooth experience, we recommend restarting both your GCash app and your device.

💸 We are working closely with BancNet to process any pending refunds to affected GCash wallets within 24 to 48 hours.

Thank you for your patience and understanding.
#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan",,0,08/29/2025 13:57,,https://www.facebook.com/Juan365officialpage/posts/pfbid0NP6tDit3AHjiT4PYtrSJF8K6bC26sgqH7QUgTvWtp3ANea92L4abjuC5yj8jiof5l,0,0,Photos,,,,,Lifetime,92920.0,52030.0,856.0,407.0,418.0,31.0,9.0,2135.0,1835.0,184.0,116.0,0.43,,,,4.0,,2025-08-29 13:57:00,2025-08
122152621988762707,61572881214141,Juan365,"🚧 SERVICE ADVISORY 🚧

Hi Juankada! 👋
Pansamantala pong hindi magagamit ang QRPh feature via GCash app dahil sa technical adjustments sa kanilang end. 😓

🛠️ Huwag mag-alala — temporary lang ito.
We’ll let you know agad-agad once ma-restore na ang service.

Salamat sa inyong patience at patuloy na pagtangkilik sa JUAN365! 💙🎰
#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan",,0,08/29/2025 08:03,,https://www.facebook.com/Juan365officialpage/posts/pfbid0Zn9jmhvxRKtq9CR3cR41yddXxrfHfePHyP9hKWx33YqjWoiPjDuNpSf3htG3nbccl,0,0,Photos,,,,,Lifetime,106969.0,55579.0,854.0,481.0,342.0,31.0,17.0,2796.0,2430.0,229.0,137.0,0.54,,,,12.0,,2025-08-29 08:03:00,2025-08
122152621346762707,61572881214141,Juan365,"Juankadaaa! 👻
Ghost Month na! 😱 May kakaibang experience ka na ba? Share mo na!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,08/29/2025 08:00,,https://www.facebook.com/Juan365officialpage/posts/pfbid0V9iHQK9peUtc74nPbj9PT8SyDdGrY8uiGzVjfz2nEddSdMyZBiCY9zR4xyrkLvVMl,0,0,Photos,,,,,Lifetime,34131.0,19338.0,410.0,240.0,152.0,18.0,4.0,427.0,357.0,70.0,,0.4,,,,1.0,,2025-08-29 08:00:00,2025-08
122152597760762707,61572881214141,Juan365,"Wave your finger and feel the beat, Juankada! 

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","Wave your finger and feel the beat, Juankada! 

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",14,08/29/2025 05:02,uploaded,https://www.facebook.com/Juan365officialpage/videos/1195611315645015/,1,0,Videos,,,,,Lifetime,22029.0,20688.0,524.0,366.0,126.0,32.0,,373.0,373.0,,,0.0,50627.014,2.6,0.0,,,2025-08-29 05:02:00,2025-08
122152584044762707,61572881214141,Juan365,"Guess who’s back on primetime? The Multimedia Prince is here to shine brighter than ever! 🌟✨

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","Guess who’s back on primetime? The Multimedia Prince is here to shine brighter than ever! 🌟✨

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",20,08/29/2025 03:01,uploaded,https://www.facebook.com/reel/1799614100636470/,0,0,Reels,,,,,Lifetime,51193.0,26221.0,978.0,600.0,311.0,67.0,,478.0,478.0,,,0.16,154392.908,3.502,0.0,,,2025-08-29 03:01:00,2025-08
122152563842762707,61572881214141,Juan365,"✅ KYC mo na 'yan!
Para smooth ang laro at cashout—iwas abala, iwas delay! 💸

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,08/29/2025 01:01,,https://www.facebook.com/Juan365officialpage/posts/pfbid0VV3SABjvyGDVJLzskAA6x6KYZZuGzJTUuNGYC7FpGmYWZj6xP7W4TJm8uLeCohkhl,0,0,Photos,,,,,Lifetime,75276.0,41208.0,605.0,386.0,177.0,42.0,12.0,1816.0,1379.0,433.0,4.0,1.16,,,,5.0,,2025-08-29 01:01:00,2025-08
122152553912762707,61572881214141,Juan365,Juan365 updated his cover photo.,,0,08/28/2025 23:32,,https://www.facebook.com/photo.php?fbid=122152553912762707&set=a.122127416456762707&type=3,0,0,Photos,,,,,Lifetime,1237.0,669.0,926.0,647.0,227.0,52.0,18.0,13.0,10.0,3.0,,0.19,,,,3.0,,2025-08-28 23:32:00,2025-08
122152540646762707,61572881214141,Juan365,"Good news, Juankada!
Nasa App Store na ang Juan365! 
Download now and play anytime, anywhere!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","Good news, Juankada!
Nasa App Store na ang Juan365! 
Download now and play anytime, anywhere!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",12,08/28/2025 21:30,,https://www.facebook.com/Juan365officialpage/videos/698890149828273/,1,0,Videos,,,,,Lifetime,13335.0,12511.0,550.0,348.0,161.0,41.0,,270.0,269.0,,1.0,0.0,36274.937,3.232,0.0,,,2025-08-28 21:30:00,2025-08
122152517330762707,61572881214141,Juan365,"Comment mo na yan! Malay mo diba...
Tutok na mamayang 7:30PM sa Juan365 Live Stream!

Mechanics:
1️⃣ Follow Juan365 Official Page and Juan365 Live Stream Page
2️⃣ Comment your answer kasama ang iyong User ID at screenshot na pinapakita na naka-follow ka sa Juan365 Official Page at Juan365 Livestream Page
3️⃣ Tag 3 friends

#Juan365  #Juan365PH  #AllInJuanSaSaya  #JuanKada  #GforEveryJuan","Comment mo na yan! Malay mo diba...
Tutok na mamayang 7:30PM sa Juan365 Live Stream!

Mechanics:
1️⃣ Follow @[61572881214141:2048:Juan365] Official Page and @[61569634500241:2048:Juan365 Live Stream] Page
2️⃣ Comment your answer kasama ang iyong User ID at screenshot na pinapakita na naka-follow ka sa Juan365 Official Page at Juan365 Livestream Page
3️⃣ Tag 3 friends

#Juan365  #Juan365PH  #AllInJuanSaSaya  #JuanKada  #GforEveryJuan",11,08/28/2025 18:17,,https://www.facebook.com/Juan365officialpage/videos/769318972539708/,0,0,Videos,,,,,Lifetime,22420.0,17826.0,2230.0,860.0,1125.0,245.0,,1448.0,1448.0,,,0.0,97698.666,5.948,0.0,,,2025-08-28 18:17:00,2025-08
122152454246762707,61572881214141,Juan365,"All-in sa saya, never sa pressure! 🎰
Game lang kung game pa—pero ‘pag pagod na, pahinga muna.
That’s how everyJuan keeps it safe. 🛡️💙

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365  #Juan365PH  #AllInJuanSaSaya  #JuanKada  #TheResponsibleJuan",,0,08/28/2025 08:02,,https://www.facebook.com/Juan365officialpage/posts/pfbid07s6LEPWmGgo5uqMK8ddm1FwSPzAhPqp8tojWfzixV7BAVJokv6yjAPpupGbrW8aPl,0,0,Photos,,,,,Lifetime,85213.0,43316.0,1047.0,607.0,380.0,60.0,13.0,1818.0,1567.0,245.0,6.0,1.35,,,,3.0,,2025-08-28 08:02:00,2025-08
122152425836762707,61572881214141,Juan365,"Congratulations sa 20 lucky Juankada! Enjoy your 300 FREE Juan365 Credits!

Follow Juan365 para updated ka sa mga susunod na ganap!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,08/28/2025 05:01,,https://www.facebook.com/Juan365officialpage/posts/pfbid0ETYdNtxQacNVaHQ1gx1Q12Ky9m5CEsAA3yViMDXhACbdqcvyKSya82Jv8MZzHpXNl,0,0,Photos,,,,,Lifetime,227235.0,104706.0,2170.0,1415.0,698.0,57.0,30.0,7475.0,5873.0,1598.0,4.0,3.79,,,,8.0,,2025-08-28 05:01:00,2025-08
122152396772762707,61572881214141,Juan365,"Salamat, Alex! 🙌

Hindi lang trophy ang sukatan ng tagumpay—kundi ang tapang at dedikasyong ipinakita mo sa buong mundo. 🌍✨ 

Proud ang buong JUANKADA sayo! 🇵🇭🔥

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #JuanSports",,0,08/28/2025 02:00,,https://www.facebook.com/Juan365officialpage/posts/pfbid02AQxjeLtM1TUKSMDYqcheurkNZLLxj3QgdM2GsDJ5WkKqRre73mEUyYT6sEwyfP1hl,0,0,Photos,,,,,Lifetime,60413.0,31156.0,788.0,484.0,279.0,25.0,1.0,696.0,581.0,114.0,1.0,0.66,,,,,,2025-08-28 02:00:00,2025-08
122152388570762707,61572881214141,Juan365,"Juankada, ingat online! 
Never click or share info—Juan365 CSR o Juan365 Official Page lang dapat kausap mo.

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #JuanAlert","Juankada, ingat online! 
Never click or share info—Juan365 CSR o Juan365 Official Page lang dapat kausap mo.

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #JuanAlert",10,08/28/2025 01:01,,https://www.facebook.com/Juan365officialpage/videos/767373898987839/,1,0,Videos,,,,,Lifetime,40044.0,35437.0,808.0,558.0,221.0,29.0,,406.0,406.0,,,0.0,111247.727,3.389,0.0,,,2025-08-28 01:01:00,2025-08
122152375562762707,61572881214141,Juan365,"⚠️ Joker ACE Maintenance Alert! ⚠️
Mayroong update ngayong August 28, 2PM para sa bagong Free Purchase feature! ⏳
Game will be back after 1 hour — stay tuned, Juankada! 🎮✨ Other games will not be affected.

#Juan365PH #Juan365PH #AllInJuanSaSaya #JuanKada",,0,08/27/2025 23:12,,https://www.facebook.com/Juan365officialpage/posts/pfbid02ZDw4wTkBH9kxp1PQCRFb78rGXAbWm7JUn2bA7pKFQkr3WwU6jYTP8DH3srF3QfXKl,0,0,Photos,,,,,Lifetime,139272.0,64943.0,1026.0,637.0,358.0,31.0,13.0,3630.0,3230.0,267.0,133.0,0.94,,,,12.0,,2025-08-27 23:12:00,2025-08
122152361906762707,61572881214141,Juan365,"Congrats, Juankada! 
Panalo ang Maria Clara at Ibarra nina Dennis Trillo at David Licauco bilang Best Primetime Series sa 37th Star Awards! 💛
Grabe, deserve na deserve! 

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #DennisTrillo #DavidLicauco",,0,08/27/2025 21:30,,https://www.facebook.com/Juan365officialpage/posts/pfbid0yyHN3amN7U242714bE2GHEJ1cv8gm9ubYvuUvFDhgMwtTCGEjwdRfqgjxSSQLNbyl,0,0,Photos,,,,,Lifetime,101777.0,56370.0,1581.0,1136.0,387.0,58.0,4.0,1622.0,1312.0,307.0,3.0,1.14,,,,5.0,,2025-08-27 21:30:00,2025-08
122152333112762707,61572881214141,Juan365,"Isa lang ang rule: Outsmart the Joker or get played! 🔥
Subukan mo na ang Joker Ace, only on Juan365!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #GforEveryJuan","Isa lang ang rule: Outsmart the Joker or get played! 🔥
Subukan mo na ang Joker Ace, only on Juan365!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #GforEveryJuan",37,08/27/2025 18:02,uploaded,https://www.facebook.com/Juan365officialpage/videos/1707672769936423/,1,0,Videos,,,,,Lifetime,16966.0,20917.0,565.0,360.0,162.0,43.0,,497.0,495.0,,2.0,0.04,72246.137,4.809,0.0,,,2025-08-27 18:02:00,2025-08
122152265276762707,61572881214141,Juan365,"Para mabuo si Juan, hanapin mo muna ang nawawalang piraso! 🧩✨
20 lucky Juankada ang may chance magkaroon ng total of 6,000 worth of free Juan365 credits! 🎉

Mechanics:
1️⃣ Follow Juan365 Official Page and Juan365 Cares Page
2️⃣ Comment your answers kasama ang iyong User ID at screenshot na pinapakita na naka-follow ka sa Juan365 Official Page at Juan365 Cares Page
3️⃣ Tag 3 friends

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #GforEveryJuan","Para mabuo si Juan, hanapin mo muna ang nawawalang piraso! 🧩✨
20 lucky Juankada ang may chance magkaroon ng total of 6,000 worth of free Juan365 credits! 🎉

Mechanics:
1️⃣ Follow @[61572881214141:2048:Juan365] Official Page and @[61579361702713:2048:Juan365 Cares] Page
2️⃣ Comment your answers kasama ang iyong User ID at screenshot na pinapakita na naka-follow ka sa Juan365 Official Page at Juan365 Cares Page
3️⃣ Tag 3 friends

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #GforEveryJuan",10,08/27/2025 08:00,,https://www.facebook.com/Juan365officialpage/videos/2033808590844346/,1,0,Videos,,,,,Lifetime,53675.0,44699.0,3227.0,1189.0,1645.0,393.0,,2381.0,2378.0,,3.0,0.0,181562.51,4.243,0.0,,,2025-08-27 08:00:00,2025-08
122152201130762707,61572881214141,Juan365,"Level up, Juankada! Para sa iOS users, here’s how to download the Juan365 App — mas madali, mas mabilis!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","Level up, Juankada! Para sa iOS users, here’s how to download the Juan365 App — mas madali, mas mabilis!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",43,08/27/2025 01:01,uploaded,https://www.facebook.com/Juan365officialpage/videos/1893052241311350/,1,0,Videos,,,,,Lifetime,112252.0,19840.0,1016.0,644.0,247.0,125.0,,368.0,366.0,,2.0,0.28,462834.0,4.691,0.0,,,2025-08-27 01:01:00,2025-08
122152165052762707,61572881214141,Juan365,"Na para bang invited sa kasal! Lapag na mga witty hashtag, Juankada!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,08/26/2025 21:30,,https://www.facebook.com/Juan365officialpage/posts/pfbid02E9XRkEXRy7Z2rc4deF1a5QG3BE5Pb3fqSan26AYPmy1SCBK5bPV4xGmiiz2KqdmZl,0,0,Photos,,,,,Lifetime,79897.0,40834.0,1265.0,690.0,489.0,86.0,7.0,2127.0,1928.0,198.0,1.0,0.95,,,,6.0,,2025-08-26 21:30:00,2025-08
122152139096762707,61572881214141,Juan365,"Sakanya ako tumaya pero iba ang pinanalo niya. Ayyy!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan","Sakanya ako tumaya pero iba ang pinanalo niya. Ayyy!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan",13,08/26/2025 18:02,,https://www.facebook.com/Juan365officialpage/videos/778773521778911/,1,0,Videos,,,,,Lifetime,18198.0,14112.0,1109.0,585.0,435.0,89.0,,682.0,681.0,,1.0,0.0,68390.92,4.823,0.0,,,2025-08-26 18:02:00,2025-08
