Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Matched Audience Targeting Consumption (Photo Click),Other Clicks,Link Clicks,Approximate content monetization earnings,Seconds viewed,Average Seconds viewed,Negative feedback from users: Hide all,Estimated earnings (USD),Negative feedback from users: Hide,Matched Audience Targeting Consumption (Video Click)
1.22167E+17,6.15729E+13,Juan365,"Don’t just scroll… Share Juan’s Lucky Hat and manifest that win! 😎✨

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,11/15/2025 0:00,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0yxBznKaWzKeZfB1oPaPtpw23x48uirWBkeBfKvyT5hT3cCx29GGbM53ZhPFWZBmpl,0,0,Photos,,,,,Lifetime,22241,13350,543,293,144,106,469,82,387,,0.21,,,2,,,
1.22167E+17,6.15729E+13,Juan365,,,0,11/15/2025 1:55,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02CRpLgS6JCxZcex1Pg38P6G7EDYP8krarauMazC6xnHCT7aVWzQDn1hsZVDj3FRyBl,0,1,Videos,,,,,Lifetime,,4112,128,105,23,0,29,,29,,0,,,,,,
1.22167E+17,6.15729E+13,Juan365,"Ano ang swak sa’yo: iPhone 17 Pro, Bonus Credits, o Both? 🤔

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,11/15/2025 4:00,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02wi7vPinmsTvqs4LsVokNaSM6qzvzJU29DGr1MJqr8FW4pxcEqN1sa3xyx3SwDKNHl,0,0,Photos,,,,,Lifetime,38206,21965,978,443,427,108,1022,146,818,58,0.36,,,4,,2,
1.22167E+17,6.15729E+13,Juan365,"Kalma muna, Juankada. Relax mode on — kasi deserve natin ‘to 💆‍♀️☀️

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,11/15/2025 16:00,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid027mjsZzzYWReCa96MsuKpEbQU2BPXnQ4Y1RHCzrtd4h5kgdze4A5X5G3jLQwBVfMWl,0,0,Photos,,,,,Lifetime,17604,10329,426,241,135,50,434,63,369,2,0.15,,,,,1,
1.22167E+17,6.15729E+13,Juan365,"Kilalanin natin si Nanay Conchita, ang isa nating beneficiary ng Juan365 Cares na nakipag-KwentuJuan sa atin. 

Tunghayan natin ang kwentong-laban niya at sama-sama nating subaybayan ang kanyang istorya. 🙏

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #NanayConchita",,0,11/15/2025 18:00,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02ncrSn1HmrzAEjH44KBmc7PR57Uopyyu82GqAyu4wGQoRJc3cSCANxNc9XwQVkimml,0,1,Videos,,,,,Lifetime,,3595,226,161,65,0,77,,77,,0,,,,,,
1.22167E+17,6.15729E+13,Juan365,"Ikaw, Juankada, bakit ka masaya sa Juan365?

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,11/15/2025 20:00,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0P97Y4AQ7T8i4yK8AL2dFxQcivdvS4sFnxnVt8iz7SJWqJCat1NQAuefuR3XtyEJCl,0,0,Photos,,,,,Lifetime,18341,10804,519,259,199,61,528,81,446,1,0.17,,,2,,1,
1.22167E+17,6.15729E+13,Juan365,"Don't forget to follow JuanSportsrts the new hangout for all solid fans when it comes to fresh and fast Sports Updates

Like, Follow, and Share para lagi kang game-Ready.

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,11/15/2025 22:40,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02mjk54PiMDvQtzQtAKZekpKLH8HoBYgXs9bWQV4ma2nDY4WyHz3qBKRWGfeQ4m8kDl,0,1,Photos,,,,,Lifetime,17536,9952,91,75,9,7,68,27,41,,0,,,1,,,
1.22167E+17,6.15729E+13,Juan365,,,0,11/15/2025 23:36,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid08FbB68zLWqwEV4A9cXugrWT7Cq8kQ1Vf8YZC8ViigixEXPSknFA33FQB7orvmmE6l,0,1,Live,,,,,Lifetime,,5157,174,140,34,0,386,,386,,0,,,,,,
1.22167E+17,6.15729E+13,Juan365,"Congratulations sa 10 lucky Juankada! Enjoy your 100 FREE Juan365 Credits!

Follow Juan365 para updated ka sa mga susunod na ganap!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","Congratulations sa 10 lucky Juankada! Enjoy your 100 FREE Juan365 Credits!

Follow Juan365 para updated ka sa mga susunod na ganap!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",10,11/16/2025 0:00,N/A,https://www.facebook.com/reel/1409731001156430/,1,0,Videos,,,,,Lifetime,24528,21512,613,402,169,42,505,,505,,0.01,67591.983,3.225,,0,,
1.22167E+17,6.15729E+13,Juan365,"Kung di mo pa natatry ang Juan365… this is your sign! Start your streak HERE! Download Juan365 APP now!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,11/16/2025 3:00,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0jUamnDBBgdHWyEyxibtAkbRSkg6mceHAnMTQxLo4tZSwLRAEJUB4WBNT66xqu6Lbl,0,0,Photos,,,,,Lifetime,18029,10108,365,159,73,133,307,66,187,54,0.16,,,,,1,
1.22167E+17,6.15729E+13,Juan365,"Gaano ka sinwerte this November? Rate mo nga from 1–10!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,11/16/2025 6:00,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0BtFo5rEVVt4rpU4E4t7V3tCsX9c1tyMScuerUc9w2LYCkdigJQReXzSFUdGf2YGfl,0,0,Photos,,,,,Lifetime,28153,16870,514,256,218,40,713,100,613,,0.29,,,3,,,
1.22167E+17,6.15729E+13,Juan365,"JUANKADA… READY NA BA KAYO? 🎉

May paparating na mas malaki, mas wild, at mas bonggang Surpresa ni Juan! 🧡🔥

At hindi lang prizes ang pasabog…
May bagong mukha na sasama sa ating kulitan! 👀✨

Sino kaya siya? At anong mga papremyo ang pwedeng mapanalunan?

Hulaan niyo na habang may oras pa! ⏳

Abangan ang bonggang bonggang sorpresa… Stay tuned, EveryJUAN! 📢

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #SurpresaNiJuanVer2","JUANKADA… READY NA BA KAYO? 🎉

May paparating na mas malaki, mas wild, at mas bonggang Surpresa ni Juan! 🧡🔥

At hindi lang prizes ang pasabog…
May bagong mukha na sasama sa ating kulitan! 👀✨

Sino kaya siya? At anong mga papremyo ang pwedeng mapanalunan?

Hulaan niyo na habang may oras pa! ⏳

Abangan ang bonggang bonggang sorpresa… Stay tuned, EveryJUAN! 📢

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #SurpresaNiJuanVer2",36,11/16/2025 6:13,N/A,https://www.facebook.com/reel/661760783534068/,0,0,Videos,,,,,Lifetime,32863,29226,1082,638,277,167,384,,383,1,0.03,119852.911,3.956,,0,,
1.22167E+17,6.15729E+13,Juan365,"Fresh week, fresh chances!  Play smart, play safe, claim your cashback!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,11/16/2025 16:00,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02qtzHg5vVzbHLNiNuXCJSRoZV76tGHivN2JFUHoivxYkrJPGmXUKVZAcAjuV9co1al,0,0,Photos,,,,,Lifetime,30832,17705,596,294,176,126,734,128,467,139,0.29,,,3,,2,
1.22167E+17,6.15729E+13,Juan365,"Monday mood: ‘Pwede ba fast-forward to weekend? Sino relate, Juankada?

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,11/16/2025 20:00,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0v6b5h2WsZs3gLgpqTn4LUBMsthidWftM3ojT55pnNhxv3vpTtH9igE2XSrJmPfhl,0,0,Photos,,,,,Lifetime,21404,12941,481,249,166,66,486,87,391,8,0.18,,,3,,1,
1.22167E+17,6.15729E+13,Juan365,,,0,11/16/2025 23:33,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02HE5oCMsr1i4vhcypJUfH5GhQiPsvPWLwvsXVpjFwEEK3mZr837GuJepcKxDzAtn8l,0,1,Live,,,,,Lifetime,,5362,124,108,16,0,329,,329,,0,,,,,,
1.22167E+17,6.15729E+13,Juan365,"Gusto mo ba ng extra rewards kahit sa simpleng pag-share lang?

Paano sumali?
1️⃣ Like and follow Juan365 
2️⃣ I-share mo ’tong post
3️⃣ Comment your User ID, screenshot na nagawa mo na ang mechanics and Tag 3 friends

The more you share, the higher your chances to win!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,11/17/2025 0:00,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0YEvgatfz6ubMmrCFJUijBe9fUDVCjEQ1AfwDrroCPVUWz3MhvBj1Sm89UngfSp1Wl,0,0,Photos,,,,,Lifetime,27266,15113,1023,390,285,348,663,101,562,,0.25,,,1,,2,
1.22167E+17,6.15729E+13,Juan365,"Don't forget to follow JuanSports – your bagong go-to hangout for fresh & fast sports updates! 🏀⚽🏈

 Like, Follow, and Share para lagi kang game-ready at updated sa lahat ng latest sports action! 🙌

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,11/17/2025 1:38,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid021mFV3Hdi5iUYEzo9b7tNyGdF4rjWVE1dBk4yZDko5YDjUpEn8jDASmujWErQHHHsl,0,1,Photos,,,,,Lifetime,37690,21161,256,156,80,20,507,55,435,17,0,,,1,,3,
1.22167E+17,6.15729E+13,Juan365,"Totoo ang balita, Juankada!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,11/17/2025 6:00,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0LDqYi2ZSUhq7RbZqdFjG92o6psBuPonFpwfoNbB5XWfsj2gAdsoTsCqTXkfCkX7ql,0,0,Photos,,,,,Lifetime,29447,17403,563,263,181,119,1180,89,1089,2,0.3,,,1,,1,
1.22167E+17,6.15729E+13,Juan365,"Quick survey, Juankada! Ano ang hindi mo talaga bet kapag naglalaro?

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,11/17/2025 16:00,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02eG51wbfJfeSfkdbDW1HUnyBt6FXjSnT8wn1RZVAR6exjVcdP9cjrJneH7rxafewel,0,0,Photos,,,,,Lifetime,20299,11744,617,262,294,61,653,56,579,18,0.17,,,1,,1,
1.22167E+17,6.15729E+13,Juan365,"Paw-sitive vibes only!
Lucky Neko is purring with good fortune—kaya tara, spin na!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,11/17/2025 20:00,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0piQUk2rCQbmhQSUurjZMUArM2F7n2dcQ2RwPrHfrVPpHwCHjB7ZbXp2U3wfzQaRbl,0,0,Photos,,,,,Lifetime,49141,28238,840,348,354,138,1693,245,1325,123,0.5,,,6,,2,
1.22167E+17,6.15729E+13,Juan365,"Follow JuanSports para sa more sports action, hype moments, and latest updates!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #JuanSports",,0,11/17/2025 22:12,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0Q2fJB4GqUxwpuPnNHn9SGWHedycHTB3msiqS1mef94r6uz5iMGFTYN7aeuDXwRxil,0,1,Photos,,,,,Lifetime,31085,18542,140,96,37,7,244,57,187,,0,,,2,,,
1.22167E+17,6.15729E+13,Juan365,"Ano ang ultimate favorite mo sa Juan365, Juankada?

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,11/18/2025 1:00,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02QFmLe9wdTRGrxsJNgRUM1d6DzGJhKZFw6UWV3KvQYUcgbKuGVvrdBGc3MqJzFLTTl,0,0,Photos,,,,,Lifetime,30256,17072,480,196,249,35,784,107,677,,0.31,,,4,,,
1.22167E+17,6.15729E+13,Juan365,,,0,11/18/2025 1:03,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid022pxJKo4NcLL8XVmVweNv2xSfWJ3kEdxEkLDkweawdWjoDR8pvvSV8KCd2mAxtM1rl,0,1,Live,,,,,Lifetime,,8168,166,104,62,0,269,,269,,0,,,,,,
1.22167E+17,6.15729E+13,Juan365,"System Maintenance Notice 🚧

Ang Juan365 ay kasalukuyang sumasailalim sa system maintenance upang mapabuti ang aming serbisyo.

Sa oras na ito, maaaring pansamantalang hindi ma-access ang ilang features ng aming platform.

Salamat po sa inyong pang-unawa at suporta. 🤝

#juan36 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan",,0,11/18/2025 4:06,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02K2NyD9HiSooGpqTf29YQfxeVRHt5RRcf8A5fAPdBhNEy8LcQiSRX1uMF4z3KERtLl,0,0,Photos,,,,,Lifetime,88597,47095,1231,459,736,36,3069,231,2557,281,0.2,,,10,,5,
1.22167E+17,6.15729E+13,Juan365,"📢 Juankada Update: System is BACK! 🥳

Hello Juankada!

Good news! Ang ating system maintenance ay FINISH na! We are now fully operational.

Para magamit muli ang ating services, paki-refresh lang po ang inyong app or website. All your funds and pending transactions are safe and should be pushing through successfully.

⚠️ IMPORTANT REMINDER:

If you encounter any issues, or kung may missing funds or transactions kayong napansin, please message us right away! We are here to assist you.

Thank you for your patience and play responsibly.

#juan36 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan",,0,11/18/2025 6:47,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0iai2wwgEhvx3mgqsX3t8aYK9zY7NptYdTcLqCavrMdaEHN7BBBCivPJJfuZFpU5Hl,0,0,Photos,,,,,Lifetime,51288,30390,525,295,147,83,1560,98,859,603,0.13,,,6,,,
1.22167E+17,6.15729E+13,Juan365,"First game feels! anong unang game mo sa Juan365? Share mo sa comments, Juankada.

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,11/18/2025 16:00,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02Lzis1LVkT1Wk7FxL4iFgGyBDkFxJ3nkGpgkFiae2yg7TgzBaMEeo9MqCgBK4YsFVl,0,0,Photos,,,,,Lifetime,38007,22770,797,337,367,93,1172,172,976,24,0.32,,,5,,1,
1.22167E+17,6.15729E+13,Juan365,"Juankada, narito na ang mechanics para maka-sali sa Mas Pinasaya, Mas Pinaganda, at Mas Pinaraming Surpresa ni Juan! 🥳🤩

Don’t forget — more shares, more chances of winning, kaya ishare niyo na ng ishare! 💥

Ready na ba kayong manalo — LIVE sa Juan365 Livestream 😉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #SurpresaNiJuanVer2","Juankada, narito na ang mechanics para maka-sali sa Mas Pinasaya, Mas Pinaganda, at Mas Pinaraming Surpresa ni Juan! 🥳🤩

Don’t forget — more shares, more chances of winning, kaya ishare niyo na ng ishare! 💥

Ready na ba kayong manalo — LIVE sa Juan365 Livestream 😉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #SurpresaNiJuanVer2",61,11/18/2025 22:29,uploaded,https://www.facebook.com/reel/818901960987498/,0,0,Videos,,,,,Lifetime,553003,269883,84772,60888,12836,11048,644,,644,,2.45,7260044.289,14.6,,0,,
1.22167E+17,6.15729E+13,Juan365,,,0,11/18/2025 23:38,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0gy7dtFsP6VmBrgqiW9awbWf62scL722WoCpCDsdyvJc6nW8arbF2YocGWfpRbLnZl,0,1,Live,,,,,Lifetime,,5988,163,129,34,0,572,,572,,0,,,,,,
1.22167E+17,6.15729E+13,Juan365,"Juankada, ano ang missing piece sa dreams mo?

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,11/19/2025 0:00,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0sMJLfmUg8EcX1koVAP7S4AF3o6sW2hCFYLo2BStUsiTggpheEdktK5KzT5dCv4c9l,0,0,Photos,,,,,Lifetime,24272,13714,520,264,186,70,505,80,402,23,0.22,,,1,,,
1.22167E+17,6.15729E+13,Juan365,"Scroll ka nang scroll…heto mag register ka!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,11/19/2025 3:00,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid034YE1poDM4ptx9rBeQrvHGT4BudoCQ34Pf7A8sDwUDzeDLVAGVxKdNae4jQfWm6Aal,0,0,Photos,,,,,Lifetime,21324,12737,460,241,145,74,467,79,364,24,0.22,,,4,,,
1.22167E+17,6.15729E+13,Juan365,"Don’t miss a beat! Follow JuanSports for epic sports action, hype moments, and all the latest updates!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #JuanSports",,0,11/19/2025 4:57,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02N3meZPkfZi3rjNwmcrPXyq2F3wgWmDQPXqC72UcTivoZbgqjcLUHDYBK1wceN8fCl,0,1,Photos,,,,,Lifetime,18374,10434,210,136,38,36,87,12,70,5,0,,,,,,
1.22167E+17,6.15729E+13,Juan365,"Sweet moves only! Try Candy Blitz—today’s featured game!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,11/19/2025 16:00,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0BhE3RP1FjbW7khqGZRd9RYftAUeVNDL2XLDSV5Bf49vdpxYwEcENA1nAA5NzQyJwl,0,0,Photos,,,,,Lifetime,33097,18032,725,365,263,97,1302,153,930,219,0.32,,,,,3,
1.22167E+17,6.15729E+13,Juan365,Juan365 updated his cover photo.,,0,11/19/2025 19:14,N/A,https://www.facebook.com/photo.php?fbid=122167269674762707&set=a.122127416456762707&type=3,0,0,Photos,,,,,Lifetime,1558,826,660,434,145,81,19,2,7,10,0.04,,,1,,1,
1.22167E+17,6.15729E+13,Juan365,"Bagay sa’yo ‘yung iPhone 17 Pro Max… kaya join ka na sa Surpresa ni Juan Season 2! Baka ‘yan na ang early gift mo galing kay Juan!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,11/19/2025 21:00,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid034grR4oqYQVZuYLe8DYtPRMuFjXCTsKHnFtpsqbKq8651PBFagxJYjhLSFyhXcAyAl,0,0,Photos,,,,,Lifetime,42813,24087,1103,578,318,207,1089,134,851,104,0.43,,,1,,1,
1.22167E+17,6.15729E+13,Juan365,"Huwag palampasin ang saya—join na sa JuanSports at i-share ang post na ito!

 #Juan365PH #AllInJuanSaSaya #JuanKada #JuanSports",,0,11/19/2025 22:23,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid07q8HuWHiiaijrqexJbDEY7h7UBif1wQuhA6KwkNsoHP8NbbQeF8DRKuQ8waxosBJl,0,1,Photos,,,,,Lifetime,41408,22917,438,193,203,42,1000,128,872,,0,,,2,,,
1.22167E+17,6.15729E+13,Juan365,,,0,11/19/2025 23:43,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02JFVeK5jSiyoS2bDKbV7BWd6BeckoXeXE7GZLvFA56gyCQqVgjqTA3AuHfRFhmPqZl,0,1,Live,,,,,Lifetime,,8783,221,194,27,0,763,,763,,0,,,,,,
1.22167E+17,6.15729E+13,Juan365,"Ano ang pinaka budol na salita ang narinig mo sa tropa mo?

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,11/20/2025 0:00,N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02natRtMhq9e72HtVKmWbM8FtLcJisA5cSq4FvvzJw8QAjHaBRRspNarz5YpV94V3il,0,0,Photos,,,,,Lifetime,22670,12455,486,262,165,59,417,64,344,9,0.2,,,,,,
