post_id,created_time,date,message,permalink,likes,comments,shares,reactions,total_engagement
580104038511364_122169311744762707,2025-12-02T09:56:08+0000,2025-12-02,"Huwag palampasin ang saya! — join JuanSports now react heart and share this post bago ka ma-late! 🔥👇

#Juan365PH #AllInJuanSaSaya #JuanKada #JuanSports",https://www.facebook.com/122169588380762707/posts/122169311744762707,0,0,34,0,34
580104038511364_122169297746762707,2025-12-02T08:50:09+0000,2025-12-02,,https://www.facebook.com/122169588380762707/posts/122169297746762707,0,0,65,0,65
580104038511364_122169292556762707,2025-12-02T08:00:16+0000,2025-12-02,"Exclusive Promo Codes are waiting! 🎁
Join our official TG account ( t.me/juan365official ) and comment “DONE” kapag nakapasok ka na!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juan",https://www.facebook.com/122169588380762707/posts/122169292556762707,0,0,54,0,54
580104038511364_122169277766762707,2025-12-02T06:00:39+0000,2025-12-02,"Congratulations sa 10 lucky Juankada! Enjoy your 100 FREE Juan365 Credits!

Follow Juan365 para updated ka sa mga susunod na ganap!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",https://www.facebook.com/reel/1970853317148151/,0,0,57,0,57
580104038511364_122169263858762707,2025-12-02T04:00:37+0000,2025-12-02,"May pang rebond ka na ba? Lapag mo User ID mo! 😉

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",https://www.facebook.com/reel/25415284561413838/,0,0,133,0,133
580104038511364_122169235364762707,2025-12-02T01:00:24+0000,2025-12-02,"Time to feel the holiday magic! ✨
Kung may one wish ka this Christmas, ano ‘yon? Drop it below, Juankada!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan36",https://www.facebook.com/122169588380762707/posts/122169235364762707,0,0,82,0,82
580104038511364_122169157592762707,2025-12-01T12:00:00+0000,2025-12-01,"LEADERBOARD as of TODAY! 🔥

Congrats sa ating Top 20 Players! Pero tandaan — hindi pa ito ang final winners at hindi pa tapos ang laban! 💯

Maglaro nang steady, enjoy the moment, at mag-top up hanggan",https://www.facebook.com/122169588380762707/posts/122169157592762707,0,0,192,0,192
580104038511364_122169146924762707,2025-12-01T10:30:56+0000,2025-12-01,"24 days to go! Ready na ba ang wishlist mo? Share mo naman sa comment section, Juankada 😉

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSa",https://www.facebook.com/122169588380762707/posts/122169146924762707,0,0,77,0,77
580104038511364_122169135962762707,2025-12-01T09:08:02+0000,2025-12-01,"Congrats Juankada, Dennis Trillo! 
Movie Actor of the Year at the PMPC 41st Star Awards for Movies 2025 for Green Bones! 👏🏆
Well deserved!

#Juan365  #Juan365PH  #AllInJuanSaSaya  #JuanKada  #DennisTr",https://www.facebook.com/122169588380762707/posts/122169135962762707,0,0,77,0,77
580104038511364_122169128618762707,2025-12-01T07:54:56+0000,2025-12-01,,https://www.facebook.com/122169588380762707/posts/122169128618762707,0,0,93,0,93
580104038511364_122169125246762707,2025-12-01T07:21:30+0000,2025-12-01,"Uy, may something! Ano kaya ang gagawin nila?
Comment mo nga ang sagot mo + User ID, tingnan natin kung tama ang hula mo.

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

",https://www.facebook.com/122169588380762707/posts/122169125246762707,0,0,32,0,32
580104038511364_122169123410762707,2025-12-01T07:03:54+0000,2025-12-01,"Don’t miss your weekly cashback. Claim mo na, Juankada dali!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",https://www.facebook.com/122169588380762707/posts/122169123410762707,0,0,94,0,94
580104038511364_122169103106762707,2025-12-01T04:00:07+0000,2025-12-01,"December na! Time to make memories, moments, at saya na pang-‘remember’ talaga.
Ikaw, Juankada, ano ang inaabangan mo ngayong December?

Huwag pahuli—join the fun with Juan! Message us to guide you, J",https://www.facebook.com/122169588380762707/posts/122169103106762707,0,0,111,0,111
580104038511364_122169081302762707,2025-12-01T00:00:06+0000,2025-12-01,"Buti naman 14 days nalang! 😌

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",https://www.facebook.com/122169588380762707/posts/122169081302762707,0,0,89,0,89
580104038511364_122169013136762707,2025-11-30T13:00:00+0000,2025-11-30,"𝐑𝐞𝐰𝐚𝐫𝐝𝐬 𝐚𝐫𝐞 𝐰𝐚𝐢𝐭𝐢𝐧𝐠 𝐉𝐮𝐚𝐧𝐤𝐚𝐝𝐚! 🎁

Join our Official TG channel now para sa exclusive PROMO CODES at free rewards na hindi mo makukuha kahit saan! Telegram Link on the Comment Section. 

Don’t miss out!",https://www.facebook.com/122169588380762707/posts/122169013136762707,0,0,186,0,186
580104038511364_122168998952762707,2025-11-30T11:01:41+0000,2025-11-30,"Ready ka na ba sa sorpresa?

Hindi mo malalaman ang swerte mo, kung hindi mo susubukan at hindi ka sasali! 🍀

Sama na sa mas pina-bongga, mas exciting, at punong-puno ng sayang Surpresa ni Juan—wag pa",https://www.facebook.com/reel/9555401097917607/,0,0,121,0,121
580104038511364_122168982020762707,2025-11-30T08:45:26+0000,2025-11-30,,https://www.facebook.com/122169588380762707/posts/122168982020762707,0,0,64,0,64
580104038511364_122168977094762707,2025-11-30T08:00:01+0000,2025-11-30,"Swerte ka ba o strategic? O may super combo ka?

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",https://www.facebook.com/122169588380762707/posts/122168977094762707,0,0,70,0,70
580104038511364_122168970332762707,2025-11-30T06:49:03+0000,2025-11-30,"Ngayong November 30, ipinagdiriwang nating mga Pilipino ang ""Bonifacio Day"". 🇵🇭

Sa Araw ni Bonifacio, alalahanin natin ang kabayanihan at panawagan niya sa pagkakaisa. Gamitin natin ang aral ng Katip",https://www.facebook.com/122169588380762707/posts/122168970332762707,0,0,31,0,31
580104038511364_122168966510762707,2025-11-30T06:07:50+0000,2025-11-30,"Join the hype with JuanSports!
From epic games to all the latest sports news, follow us today! 🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #JuanSports",https://www.facebook.com/122169588380762707/posts/122168966510762707,0,0,24,0,24
580104038511364_122168956052762707,2025-11-30T04:01:19+0000,2025-11-30,"Mood check, Juankada! Ano’ng feels mo today?

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",https://www.facebook.com/reel/1485624136071438/,0,0,122,0,122
580104038511364_122168934104762707,2025-11-30T00:00:20+0000,2025-11-30,"Countdown starts NOW — 25 days before Christmas! 🎄✨ Sino ang excited? Kasi kami, super! 😍

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSa",https://www.facebook.com/122169588380762707/posts/122168934104762707,0,0,116,0,116
580104038511364_122168886122762707,2025-11-29T15:08:55+0000,2025-11-29,"Kasali ka na ba sa Surpresa ni Juan? Comment mo nman kung ano gusto mo mapanalunan 🤩

Kung hindi pa… hala, baka ikaw na ang next LUCKY JUAN na mag uuwi ng Mas Pinaganda, Mas Pina-Excite, Mas Pinaramin",https://www.facebook.com/122169588380762707/posts/122168886122762707,0,0,205,0,205
580104038511364_122168840462762707,2025-11-29T08:00:56+0000,2025-11-29,"Kung ready ka sa thrill, we’re ready for you! Play our top games today — let’s GOOO, Juankada!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJ",https://www.facebook.com/reel/1379681457100578/,0,0,123,0,123
580104038511364_122168825738762707,2025-11-29T06:11:34+0000,2025-11-29,"Huwag palampasin ang saya—join na sa JuanSports at i-share ang post na ito!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",https://www.facebook.com/122169588380762707/posts/122168825738762707,0,0,51,0,51
580104038511364_122168810672762707,2025-11-29T04:01:19+0000,2025-11-29,"This week’s highlight! 😎
Criselda Alvarez joins the Juan365 family — stay tuned for fun and surprises!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365  #Juan365P",https://www.facebook.com/reel/1375974174082991/,0,0,91,0,91
580104038511364_122168724134762707,2025-11-29T00:00:11+0000,2025-11-29,"Uy, organic encounter ba ’to? Napadaan ako sa feed mo… ibig sabihin, sign na ’yan. Download the app na.

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365P",https://www.facebook.com/122169588380762707/posts/122168724134762707,0,0,92,0,92
580104038511364_122168667122762707,2025-11-28T13:01:16+0000,2025-11-28,"Comment your wins and flex your Juankada luck!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",https://www.facebook.com/122169588380762707/posts/122168667122762707,0,0,270,0,270
580104038511364_122168651204762707,2025-11-28T10:45:01+0000,2025-11-28,"Juankada, dito tayo! Kung saya ang usapan, All in Juan tayo d’yan!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",https://www.facebook.com/122169588380762707/posts/122168651204762707,0,0,82,0,82
580104038511364_122168640176762707,2025-11-28T08:57:28+0000,2025-11-28,,https://www.facebook.com/122169588380762707/posts/122168640176762707,0,0,52,0,52
580104038511364_122168633702762707,2025-11-28T08:00:16+0000,2025-11-28,"JUANKADA 1 WEEK NA LANG!🚨

Kung hindi ka pa nakakasali, don’t worry — hindi pa huli! Kaya tara na, join na at maging parte ng surpresa!

Ano ang gusto mong mapanalunan? Comment in the comment section.",https://www.facebook.com/reel/714314687940518/,0,0,157,0,157
580104038511364_122168602868762707,2025-11-28T04:00:17+0000,2025-11-28,"4 Fridays left, Juankada! Pero si Juan, wala nang hintayan — puro pa-surpresa agad!

How To Join:
1️⃣ Like & Follow JuanSports  ( https://www.facebook.com/JuanSportsOfficial )
2️⃣ Share this post ( ht",https://www.facebook.com/122169588380762707/posts/122168602868762707,0,0,211,0,211
580104038511364_701592149320757,2025-11-28T03:29:47+0000,2025-11-28,,https://www.facebook.com/122169588380762707/posts/701592149320757?substory_index=701592149320757,0,0,81,0,81
580104038511364_122168576612762707,2025-11-28T00:00:31+0000,2025-11-28,"Huwag palampasin ang excitement! 
Register na sa Juan365 at experience the thrill!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH  #AllInJuanSaSaya  ",https://www.facebook.com/reel/3315997925221236/,0,0,82,0,82
580104038511364_122168484860762707,2025-11-27T10:52:12+0000,2025-11-27,"Mag-register na at simulan ang saya kasama ang Juankada! 🎮 Enjoy the game, pero tandaan, always play responsibly! ✅

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan3",https://www.facebook.com/122169588380762707/posts/122168484860762707,0,0,81,0,81
580104038511364_122168459450762707,2025-11-27T07:34:56+0000,2025-11-27,"Congratulations, Juankada Loisa Andalio-Alonte! 🧡💍

Isang bagong kabanata na puno ng pagmamahal at Juan-derful moments ang naghihintay ✨

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",https://www.facebook.com/122169588380762707/posts/122168459450762707,0,0,119,0,119
580104038511364_122168440058762707,2025-11-27T04:00:03+0000,2025-11-27,"Oras na para maging part ng next big surprise!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",https://www.facebook.com/122169588380762707/posts/122168440058762707,0,0,65,0,65
580104038511364_122168418116762707,2025-11-27T00:00:23+0000,2025-11-27,"Dalhin mo ang all-in Juan vibes saan ka man! Download the app na!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",https://www.facebook.com/122169588380762707/posts/122168418116762707,0,0,99,0,99
580104038511364_122168352764762707,2025-11-26T12:00:05+0000,2025-11-26,"Oo heto na—kumapit ka, Juankada…

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",https://www.facebook.com/122169588380762707/posts/122168352764762707,0,0,123,0,123
580104038511364_122168336366762707,2025-11-26T09:43:13+0000,2025-11-26,"Join the hype with JuanSports! Kung saan lahat ng sports all in Juan!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #JuanSports",https://www.facebook.com/122169588380762707/posts/122168336366762707,0,0,12,0,12
580104038511364_122168322740762707,2025-11-26T08:00:09+0000,2025-11-26,"Your All in Juan Gaming Destination — one stop, all fun!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",https://www.facebook.com/122169588380762707/posts/122168322740762707,0,0,44,0,44
580104038511364_122168321150762707,2025-11-26T07:45:23+0000,2025-11-26,,https://www.facebook.com/122169588380762707/posts/122168321150762707,0,0,37,0,37
580104038511364_122168300204762707,2025-11-26T04:00:05+0000,2025-11-26,"Comment lang, may chance ka nang manalo ng extra rewards!

Paano sumali?
1️⃣ I-comment ang User ID mo + sagot sa tanong na: “Bakit ikaw ang deserve maging Lucky Juankada Commenter?”
2️⃣ Like and follo",https://www.facebook.com/122169588380762707/posts/122168300204762707,0,0,234,0,234
580104038511364_122168264420762707,2025-11-26T00:00:11+0000,2025-11-26,"Safe, legit, at all-in fun! Yan ang Juan365 vibes mo, Juankada — game na game ka sa saya, worry-free pa!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365",https://www.facebook.com/122169588380762707/posts/122168264420762707,0,0,208,0,208
580104038511364_122168193248762707,2025-11-25T12:00:45+0000,2025-11-25,"A super bonggang Surpresa ni Juan is on the way! Maagang pamasko is here, with our Newest Juankada Criselda Alvarez! Celebrate the season with Juan365 — All in Juan sa Saya!

Click here for the Full M",https://www.facebook.com/reel/767772532983788/,0,0,3334,0,3334
580104038511364_122168183678762707,2025-11-25T10:22:30+0000,2025-11-25,"Join the hype with JuanSports!
From epic games to all the latest sports news, follow us today! 🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #JuanSports",https://www.facebook.com/122169588380762707/posts/122168183678762707,0,0,14,0,14
580104038511364_122168166704762707,2025-11-25T08:00:18+0000,2025-11-25,"Level up your playtime! Try these 759 Gaming faves, Juankada—dito lang sa Juan365!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #J",https://www.facebook.com/reel/1918814288981976/,0,0,73,0,73
580104038511364_122168164760762707,2025-11-25T07:35:51+0000,2025-11-25,,https://www.facebook.com/122169588380762707/posts/122168164760762707,0,0,46,0,46
580104038511364_122168141114762707,2025-11-25T04:00:01+0000,2025-11-25,"Manifesting hard… sana all may iPhone 17 Pro Max.

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",https://www.facebook.com/122169588380762707/posts/122168141114762707,0,0,300,0,300
580104038511364_122168096294762707,2025-11-25T00:00:14+0000,2025-11-25,"Sama ka na sa saya – kasi dito sa Juan365 pwedeng ibang level ang swerte mo!
Ready ka na? Join us now!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH",https://www.facebook.com/122169588380762707/posts/122168096294762707,0,0,83,0,83
580104038511364_122167997180762707,2025-11-24T10:11:28+0000,2025-11-24,"It’s official! 🤝 Welcome to the Juan365 fam, Criselda Alvarez!
All set and ready with our newest ambassador — let’s make every play legendary!

#Juan365  #Juan365PH  #AllInJuanSaSaya  #JuanKada  #Cris",https://www.facebook.com/reel/819915094014124/,0,0,216,0,216
580104038511364_122167967582762707,2025-11-24T08:01:07+0000,2025-11-24,"Congratulations sa 10 lucky Juankada! Enjoy your 100 FREE Juan365 Credits!

Follow Juan365 para updated ka sa mga susunod na ganap!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",https://www.facebook.com/reel/1166657278390416/,0,0,83,0,83
580104038511364_122167966982762707,2025-11-24T07:53:39+0000,2025-11-24,,https://www.facebook.com/122169588380762707/posts/122167966982762707,0,0,82,0,82
580104038511364_122167933352762707,2025-11-24T04:00:21+0000,2025-11-24,"Catch the dragon! 🐉 Play Fortune Dragon now and grab all the fun waiting for you, Juankada!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuan",https://www.facebook.com/122169588380762707/posts/122167933352762707,0,0,198,0,198
580104038511364_122167928486762707,2025-11-24T03:03:16+0000,2025-11-24,"Congratulations, Juankada Michael! 📱✨ Our Supresa ni Juan iPhone 17 winner! Sumali na rin kayo — Malay mo, ikaw na ang next winner! Dahil sa Juan365, All in Juan sa saya! 

Check the comment section J",https://www.facebook.com/122169588380762707/posts/122167928486762707,0,0,60,0,60
580104038511364_122167879526762707,2025-11-24T00:00:49+0000,2025-11-24,"Claim mo na, Juankada — hindi ‘to paasa.

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",https://www.facebook.com/reel/1777555179570591/,0,0,102,0,102
580104038511364_122167793528762707,2025-11-23T10:01:23+0000,2025-11-23,"Meet our newest Juankada — Criselda Alvarez!  Get ready for surprises, fun, and all-in Juan excitement!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",https://www.facebook.com/reel/743688911323179/,0,0,174,0,174
580104038511364_122167781072762707,2025-11-23T08:23:40+0000,2025-11-23,,https://www.facebook.com/122169588380762707/posts/122167781072762707,0,0,52,0,52
580104038511364_122167778042762707,2025-11-23T08:00:11+0000,2025-11-23,"Counting days till 13th month be like… ⏰💵

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",https://www.facebook.com/122169588380762707/posts/122167778042762707,0,0,217,0,217
580104038511364_122167767872762707,2025-11-23T06:27:29+0000,2025-11-23,"Don’t miss a beat! Follow JuanSports for epic sports action, hype moments, and all the latest updates!

 #Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #JuanSports",https://www.facebook.com/122169588380762707/posts/122167767872762707,0,0,20,0,20
580104038511364_122167750724762707,2025-11-23T04:00:17+0000,2025-11-23,"Make me whole naman oh 😩👉👈
Baka ikaw lang ang makakabuo sa’kin, Juankada.

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",https://www.facebook.com/122169588380762707/posts/122167750724762707,0,0,150,0,150
580104038511364_122167735892762707,2025-11-23T01:35:29+0000,2025-11-23,"Kilalanin natin si Tatay Leo, ang isa nating beneficiary ng Juan365 Cares na nakipag-KwentuJuan sa atin. 
Tunghayan natin ang kwentong-laban niya at sama-sama nating subaybayan ang kanyang istorya. 🙏
",https://www.facebook.com/122169588380762707/posts/122167735892762707,0,0,42,0,42
580104038511364_122167725386762707,2025-11-23T00:00:29+0000,2025-11-23,"Ready ka na ba? Baka ikaw ang tamaan ng swerte today! ⚡

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",https://www.facebook.com/122169588380762707/posts/122167725386762707,0,0,188,0,188
580104038511364_122167613804762707,2025-11-22T08:07:43+0000,2025-11-22,,https://www.facebook.com/122169588380762707/posts/122167613804762707,0,0,92,0,92
580104038511364_122167612760762707,2025-11-22T08:00:06+0000,2025-11-22,"Choose your happiness!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",https://www.facebook.com/122169588380762707/posts/122167612760762707,0,0,166,0,166
580104038511364_122167608524762707,2025-11-22T07:19:18+0000,2025-11-22,"Don't miss out on the fun—join JuanSportss and share this post!

 #Juan365PH #AllInJuanSaSayaa #JuanKada #JuanSports",https://www.facebook.com/122169588380762707/posts/122167608524762707,0,0,25,0,25
580104038511364_122167591364762707,2025-11-22T04:00:10+0000,2025-11-22,"Ready na ba ang OOTD at dance moves mo sa Christmas Party?

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",https://www.facebook.com/122169588380762707/posts/122167591364762707,0,0,64,0,64
580104038511364_122167572860762707,2025-11-22T00:00:21+0000,2025-11-22,"Juankada, sagot-sagot muna! Ano ang source ng happiness mo? 😄

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",https://www.facebook.com/122169588380762707/posts/122167572860762707,0,0,86,0,86
580104038511364_122167502900762707,2025-11-21T12:00:03+0000,2025-11-21,"Crack the code, Juankada! 🔎 Ano kayang game ang tinutukoy?

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",https://www.facebook.com/122169588380762707/posts/122167502900762707,0,0,132,0,132
580104038511364_122167478864762707,2025-11-21T08:35:52+0000,2025-11-21,,https://www.facebook.com/122169588380762707/posts/122167478864762707,0,0,56,0,56
580104038511364_122167476470762707,2025-11-21T08:11:27+0000,2025-11-21,"Congratulations sa 10 lucky Juankada! Enjoy your 100 FREE Juan365 Credits!

Follow Juan365 para updated ka sa mga susunod na ganap!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",https://www.facebook.com/reel/1917232169144345/,0,0,99,0,99
580104038511364_122167469120762707,2025-11-21T06:55:44+0000,2025-11-21,"Ahtisa Manalo finishes as 3rd Runner-Up! 🇵🇭💫
Congratulations, Queen! Thank you for bringing pride to the Philippines and owning the global stage with grace. 👑❤️
#Juan365 #Juan365PH #AllInJuanSaSaya #J",https://www.facebook.com/122169588380762707/posts/122167469120762707,0,0,38,0,38
580104038511364_122167452572762707,2025-11-21T04:01:04+0000,2025-11-21,"Feel na feel mo na ba ang Pasko? Kasi sa Juan365, maaga ang pa-regalo! 🎁🔥

How To Join:
1️⃣ Like & Follow Juan365 Cares 
2️⃣ Share this post on your timeline
( https://www.facebook.com/share/v/1Cu2Qog",https://www.facebook.com/reel/3770588583246011/,0,0,106,0,106
580104038511364_122167447184762707,2025-11-21T02:58:23+0000,2025-11-21,"Philippines’ pride Ahtisa Manalo cracks the Top 12! Watch her shine and bring back the crown! 👑🇵🇭✨
#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #The74thMissUniverse",https://www.facebook.com/122169588380762707/posts/122167447184762707,0,0,18,0,18
580104038511364_122167428650762707,2025-11-21T00:00:19+0000,2025-11-21,"Jogo do Bicho time — let the animals decide your luck today!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",https://www.facebook.com/122169588380762707/posts/122167428650762707,0,0,61,0,61
580104038511364_122167424540762707,2025-11-20T23:35:25+0000,2025-11-20,"GCASH SERVICE ADVISORY!

📢 Heads up  JUANKADA!
Some GCash services (Buy Load, Pay Bills, Bank Transfer & QRPH) are currently down due to system updates, and the maintenance will be ongoing until furth",https://www.facebook.com/122169588380762707/posts/122167424540762707,0,0,27,0,27
