Publish time,Post type,Title,Reactions,Comments,Shares,Total Engagement,Reach,Permalink
8/28/2025 5:01,Photos,"Congratulations sa 20 lucky Juankada! Enjoy your 300 FREE Juan365 Credits!

Follow Juan365 para updated ka sa mga susunod na ganap!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",1415,698,57,2170,104706,https://www.facebook.com/Juan365officialpage/posts/pfbid0ETYdNtxQacNVaHQ1gx1Q12Ky9m5CEsAA3yViMDXhACbdqcvyKSya82Jv8MZzHpXNl
8/26/2025 5:00,Photos,"Congratulations sa 10 lucky Juankada! Enjoy your 300 FREE Juan365 Credits!

Follow Juan365 para updated ka sa mga susunod na ganap! 

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #GforEveryJuan",1329,634,61,2024,87455,https://www.facebook.com/Juan365officialpage/posts/pfbid02qGQLSC5zzDSCsLgmfGhLBp7VHx8x9D4n5WnsGfHhix2pQSD7aDG9MJNUA9Low2jbl
8/30/2025 1:01,Videos,"Congratulations sa 10 lucky Juankada! Enjoy your 300 FREE Juan365 Credits!

Follow Juan365 para updated ka sa mga susunod na ganap!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",1316,597,99,2012,50491,https://www.facebook.com/Juan365officialpage/videos/728292093709219/
9/10/2025 7:00,Photos,"Sleep is life pero credits is love! 😍 Anong deserve mo, Juankada?

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",1227,691,88,2006,49198,https://www.facebook.com/Juan365officialpage/posts/pfbid02DsFf9Gi7UoBW66WLiWVGT2ECpDhJmgTHvzyWdXHZxVzBGChGseEnHPRBsAy4Yvb1l
9/8/2025 21:00,Photos,"Isa ka na ba sa nabigyan, Juankada? Comment 'G' at baka ikaw na ang susunod na mabigyan 😉

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365  #Juan365PH  #AllInJuanSaSaya  #JuanKada",787,1082,89,1958,47858,https://www.facebook.com/Juan365officialpage/posts/pfbid0cYudpoG79B1HKBJVHpv7MQSvtjamZTbW2dQYTmJJfc2wx7aRXnX2QTgmy3sAguqrl
9/8/2025 23:21,Photos,"Triple nine, triple swerte! 🍀 Today’s your moment to shine!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",1041,655,75,1771,64435,https://www.facebook.com/Juan365officialpage/posts/pfbid02atapipgitKLQ8eunU3EVLsiQfB6uXh3i55L32fnTLhsayHYC9CcxEmUuTRJdxcLSl
9/8/2025 0:00,Photos,"Flex mo na 'yan!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",612,728,413,1753,28559,https://www.facebook.com/Juan365officialpage/posts/pfbid02FGHaKBSgeeQGRBmpMVKrC57LZVCqFaaVrmKepnJKuLSygYDzy5vXafRt6tdAd7iml
12/1/2025 20:00,Videos,"May pang rebond ka na ba? Lapag mo User ID mo! 😉

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",768,813,133,1714,15537,https://www.facebook.com/reel/25415284561413838/
11/24/2025 20:00,Photos,"Manifesting hard… sana all may iPhone 17 Pro Max.

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",778,618,301,1697,39752,https://www.facebook.com/Juan365officialpage/posts/pfbid0MU8oZRqLuGMcAkh8LiNEzQj1wJz6fFCy1JTzjhhz1zwgSX9q7J5x6p3M2daF4K5ql
9/10/2025 3:00,Photos,"Congratulations sa 30 lucky Juankada! Enjoy your 100 FREE Juan365 Credits!

Follow Juan365 para updated ka sa mga susunod na ganap!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",1034,576,79,1689,66591,https://www.facebook.com/Juan365officialpage/posts/pfbid0UsYoK5p5Qj5Moy759yZNq3aQhdEHtqim9zZfggfMYaWgAQAYKfgNSjJ2xGYaqmmhl
7/24/2025 20:56,Photos,"WOOOH! 500,000 FOLLOWERS! 🔥🔥
TAYO NA’TO, JUANKADA! 🔥
Grabe, umabot na tayo sa HALF A MILLION! 💥
From 100K, to 200K, to 500K—bawat hakbang, bawat milestone, mas solid at mas malupit! 💯
Salamat sa walang kapantay na supporta, tiwala, at love!
Hindi kayo followers, kayo ang dahilan kung bakit masaya at buhay ang Juan365. 💙🧡
Tuloy-tuloy lang ang kwentuhan, at good vibes! 🎁
Next stop: 1 MILLION, baby! 🚀

Huwag magpahuli—join the fun, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan",998,616,65,1679,73889,https://www.facebook.com/Juan365officialpage/posts/pfbid0t2WHfHnfa5v1JRT5Lo84sPwx3ot9ZNV5QcuobMhzxXahsWDfKXTpFN2xDqWKEWnNl
8/19/2025 6:52,Reels,Maki-itu itu na kay JuanKada Charm! 🧡 #Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan #ituitu,1282,272,74,1628,56084,https://www.facebook.com/reel/1399247967837292/
9/1/2025 20:30,Videos,"Kung tatanungin mo ako, Juankada… Isa ito sa mga game na dapat mong subukan: Tiger’s Grace! 🐯
Dito, power at swerte ang dala — ako na mismo ang nagsasabi, masaya ‘to!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #GforEveryJuan",829,751,48,1628,58284,https://www.facebook.com/Juan365officialpage/videos/1509397300219748/
8/23/2025 1:00,Photos,"Shoutout sa ating 10 lucky Juankada!  Enjoy your 300 FREE Juan365 Credits!
Follow Juan365 para hindi ka mahuli sa susunod na chance manalo!

#Juan365  #Juan365PH  #AllInJuanSaSaya  #JuanKada",1097,438,83,1618,63699,https://www.facebook.com/Juan365officialpage/posts/pfbid06uisiQDvkB4MJ1iY6rjfGhrLK1tgWbw1dEg66hn69Z7KTXa4PfxWazQWw7W2vYE8l
8/25/2025 18:00,Photos,"JUAN MOOD CHECK!
Gamit lang ang emojis—kamusta ang swerte mo today?
Comment mo na sa baba, Juankada! ⬇️

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #GforEveryJuan",865,678,65,1608,44190,https://www.facebook.com/Juan365officialpage/posts/pfbid0zz9TwavnfSAbtvt9sa4ywQBFmBdpFkBSWucpVtxFb4N1BrSoH9SMJ2WVkSQEqPRrl
8/20/2025 18:00,Photos,"Laban para sa bayan, hindi nalilimutan. 🙌
Saludo kay Ninoy sa tapang at prinsipyo! 💛

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365  #Juan365PH  #AllInJuanSaSaya  #JuanKada",1206,323,79,1608,70148,https://www.facebook.com/Juan365officialpage/posts/pfbid0Tbwajim5Xdwjhj8JuoCtK3uFcDBDXkdnPojWB7dsj9XjUcBcRtQtQ39sosQzkZ6cl
8/20/2025 4:08,Videos,"NEW GAME ALERT sa Juan365! 🚨
Juankada, get ready!  Introducing Joker Ace by 759, ang bagong laro na siguradong puno ng thrill at all-out excitement! 

Are you ready to take your game to the next level?

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",790,733,60,1583,52866,https://www.facebook.com/Juan365officialpage/videos/763864736000894/
8/27/2025 21:30,Photos,"Congrats, Juankada! 
Panalo ang Maria Clara at Ibarra nina Dennis Trillo at David Licauco bilang Best Primetime Series sa 37th Star Awards! 💛
Grabe, deserve na deserve! 

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #DennisTrillo #DavidLicauco",1136,387,58,1581,56370,https://www.facebook.com/Juan365officialpage/posts/pfbid033zt5XPxvnRKbsERWhkqx2Yo8yeJnd2H5N6USyuFTub6XfuKX66qt4qhxwydbobUml
9/8/2025 4:00,Photos,"Congratulations sa 20 lucky Juankada! Enjoy your 300 FREE Juan365 Credits!

Follow Juan365 para updated ka sa mga susunod na ganap!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",1078,435,56,1569,61635,https://www.facebook.com/Juan365officialpage/posts/pfbid02xKPs3BZyjRDyR6PK4TJa1rq1jJnY73WhCh7G9viRUdL46aunabN4KhpWwrzLeaaPl
7/29/2025 4:00,Photos,"Smart si Juan—always JUAN step ahead. 🧠🎮
Gaming is more fun kapag may limit.
Disiplina, budget, at control—‘yan ang tunay na smart play.

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan",937,469,116,1522,60082,https://www.facebook.com/Juan365officialpage/posts/pfbid02Hgx1NDYQPZ2HTSmXGBJ3QoNjzMSZNUcHfPaoaaqGqAHcaZV9SzNY733sKFrMyx2Nl
6/11/2025 4:00,Photos,"Brace yourselves — the Pambansang Ginoo has arrived!
Juan365 proudly welcomes DAVID LICAUCO as one of our brand ambassadors! 😍🔥

Suave, smart, and swerte —
David’s here to show us how to live a JUANderful life! ✨

Welcome to the fam, David! 🌟
Let’s make winning look this good. 💯

#Juan365  #Juan365PH  #AllInJuanSaSaya #PambansangGinoo",1104,212,197,1513,19848,https://www.facebook.com/Juan365officialpage/posts/pfbid0bHQkddxtBsLUfPC2jFerTeYxNhiMdaEdgFmhwcP3giqe713beccaKmcB4NLzVKfJl
7/28/2025 0:00,Photos,"Budget? Check.
Break time? Check.
Impulsive play? Never.
✅ Stay In Control, everyJuan.

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan",1030,423,50,1503,78672,https://www.facebook.com/Juan365officialpage/posts/pfbid0wz4mkXt2qquKhibcmwkJS2TWU2NJgV4dUpLf52wFXmesVBac2N2Y2Hb7qis2LjWel
11/22/2025 20:00,Photos,"Make me whole naman oh 😩👉👈
Baka ikaw lang ang makakabuo sa’kin, Juankada.

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",746,604,151,1501,44554,https://www.facebook.com/Juan365officialpage/posts/pfbid0WRRtEMEo8vXyqjwGHdmxgJ8VL6geG1XvYmxwACynrehNvHdvns23DHzxZTSq44QAl
7/18/2025 19:01,Videos,"🎁 May pa-welcome bonus si Juan365!
Just follow these steps:
📱 Bind your number
⬇️ Download the Juan365 app
👍 Like us on Facebook: Juan365 
✅ Complete your KYC
₱36.5 bonus agad — no deposit needed!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan",782,544,157,1483,36768,https://www.facebook.com/Juan365officialpage/videos/1248174009861854/
11/23/2025 2:01,Videos,"Meet our newest Juankada — Criselda Alvarez!  Get ready for surprises, fun, and all-in Juan excitement!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",1107,197,174,1478,53836,https://www.facebook.com/reel/743688911323179/
9/4/2025 16:30,Videos,"Kung ano ang mascreenshot mo, ‘yun ang lalaruin mo!
Sige nga Juankada, i-comment ang SS niyo sa baba! 🔥

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #GforEveryJuan",648,742,77,1467,28064,https://www.facebook.com/Juan365officialpage/videos/1234841778659099/
8/17/2025 3:00,Photos,"Hindi impulsive, hindi pabigla-bigla.
🎯 Si Juan, laging may limit sa laro.
‘Yan ang tunay na matalino.

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365  #Juan365PH  #AllInJuanSaSaya  #JuanKada  #TheResponsibleJuan",798,579,86,1463,96609,https://www.facebook.com/Juan365officialpage/posts/pfbid0g4UZNa61d3rHDXjzxgNQLbdgSNnVK97Qbk924VpBdnpesnAJmGJeyNShpS2QGmuhl
8/20/2025 1:00,Photos,"5 days of freedom? Yes namaaaan! 🥳🤩

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",782,532,146,1460,103047,https://www.facebook.com/Juan365officialpage/posts/pfbid0wH17pL6mn1MrnFZxBThXUkKRw7uLMfpMAnehGsCM2hs2xQUMQWVcr2EeJnjYH4tKl
9/11/2025 16:30,Videos,"Christmas countdown na, Juankada! 🎄 Tutok na bukas, Saturday, Sept 13, 5:00 PM sa Juan365 Live Stream !

Mechanics:
1️⃣ Follow Juan365 
2️⃣ Share this post
3️⃣ Comment your User ID + screenshot na naka-download ka na ng Juan365 App & naka-follow ka sa Juan365 Official page
4️⃣ Tag 5 friends

#Juan365  #Juan365PH  #AllInJuanSaSaya  #JuanKada",793,457,196,1446,54472,https://www.facebook.com/Juan365officialpage/videos/1316704460032824/
11/22/2025 0:00,Photos,"Choose your happiness!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",628,646,167,1441,43070,https://www.facebook.com/Juan365officialpage/posts/pfbid0zuKMqshZKRrmDvXKhPTqZasFQZXRTzugD3N4Z3jArUPRCV5VdFnGySU2CTT1jvdl
11/26/2025 23:34,Photos,"Congratulations, Juankada Loisa Andalio-Alonte! 🧡💍

Isang bagong kabanata na puno ng pagmamahal at Juan-derful moments ang naghihintay ✨

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",1043,278,119,1440,63773,https://www.facebook.com/Juan365officialpage/posts/pfbid031qwo2nBrZqvaARsDhpJqJ1KWXgoW7g82io8iv6uPEvENfxzyAGz11WMecsgU6qSAl
12/1/2025 4:00,Photos,"LEADERBOARD as of TODAY! 🔥

Congrats sa ating Top 20 Players! Pero tandaan — hindi pa ito ang final winners at hindi pa tapos ang laban! 💯

Maglaro nang steady, enjoy the moment, at mag-top up hanggang Dec 5 para tumaas pa ang chances mong mapalapit sa iPhone, iPad, Apple Watch, at Cash Prizes! 😱✨

💬 Comment “ako ang luckyJUAN” kung nakikita mo o gusto mo rin makita ang pangalan mo dyan, Juankada! 💪

#Juan365PH #AllInJuanSaSaya #JuanKada #SurpresaniJuanVer2",717,529,194,1440,39651,https://www.facebook.com/Juan365officialpage/posts/pfbid02jKjfjonNtrTkuCSYpuA333G4dRzUMtX4obB3vFWqvbiDhR5kqBHeMQP6s7r3RCxCl
11/29/2025 16:00,Photos,"Countdown starts NOW — 25 days before Christmas! 🎄✨ Sino ang excited? Kasi kami, super! 😍

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",1054,273,112,1439,60744,https://www.facebook.com/Juan365officialpage/posts/pfbid031LZu4GAUqZ4eWGvjfiKnJoZxjMH7hZzpyHcWmNfGneFMQAfuu8nQCRAjN8Up8j1Ll
12/1/2025 1:08,Photos,"Congrats Juankada, Dennis Trillo! 
Movie Actor of the Year at the PMPC 41st Star Awards for Movies 2025 for Green Bones! 👏🏆
Well deserved!

#Juan365  #Juan365PH  #AllInJuanSaSaya  #JuanKada  #DennisTrillo  #PMPCStarAwards  #GreenBones",739,617,77,1433,44201,https://www.facebook.com/Juan365officialpage/posts/pfbid02q1mZ92xCb2Jt7HHVyVhE6AD8ct1udWKyAHH3G2E8PNfq2xJS92FotBbBpCtvP6KFl
9/14/2025 3:02,Videos,"Congratulations sa 10 lucky Juankada! Enjoy your 300 FREE Juan365 Credits!

Follow Juan365 para updated ka sa mga susunod na ganap!

#Juan365  #Juan365PH  #AllInJuanSaSaya  #JuanKada",919,411,98,1428,39182,https://www.facebook.com/Juan365officialpage/videos/830460969391991/
9/3/2025 4:00,Photos,"Congratulations sa 10 lucky Juankada! Enjoy your 300 FREE Juan365 Credits!

Follow Juan365 para updated ka sa mga susunod na ganap!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",906,468,50,1424,68965,https://www.facebook.com/Juan365officialpage/posts/pfbid0ujfkgYj8NUDh1YLgEirE4K34zMXDSgaSimNbLmscQ3ZJXc4Ui66Db7oQ93nzsnGgl
7/28/2025 4:01,Reels,"3...2...1... Roll down? Wait laaang—flex muna ulit! 😎
📍Parañaque 👀💙💥

#Juan365  #Juan365PH  #AllInJuanSaSaya  #JuanKada  #TheResponsibleJuan",813,283,326,1422,40577,https://www.facebook.com/reel/3125647397825061/
6/11/2025 22:18,Reels,"Pambansang ginoo just dropped in! 😎 Say hi to DAVID LICAUCO, now officially part of the Juan365 fam! 💙🔥May classic pogi energy at effortless kilig vibes,si David na ang bagong reason kung bakit mas JUANderful ang araw mo. ✨ Welcome sa Juankada, David! 🙌👉 Mag-register na dito: https://juan365.ph #Juan365 #Juan365PH #AllInJuanSaSaya",1163,94,146,1403,6891,https://www.facebook.com/reel/693954653494393/
9/5/2025 20:30,Videos,"Ano ba ang tamang pag bigkas? 🤔 Comment mo nga, Juankada!
20 lucky Juankada ang may chance magkaroon ng total of 6,000 worth of free Juan365 credits! 🎉

Mechanics:
1️⃣ Follow Juan365 Official Page and Juan365 Cares 
2️⃣ Share this post
3️⃣ Comment your answer + User ID + screenshot na naka-follow ka sa Juan365 Official & Juan365 Cares at shinare mo itong post.
4️⃣ Tag 5 friends

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",520,559,309,1388,28658,https://www.facebook.com/Juan365officialpage/videos/1325400502534237/
8/24/2025 5:39,Photos,"Ang GCash, Maya, at QRPH ay kasalukuyang under official maintenance, kaya’t pansamantalang hindi muna available ang deposits.

✅ Don’t Worry! Withdrawals are operating normally.

Ginagawa namin ang lahat para maibalik agad ang deposit channels.
Salamat po sa inyong pang-unawa!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",692,630,60,1382,107413,https://www.facebook.com/Juan365officialpage/posts/pfbid02ck9znT6jL9rsjTzve3FEgqVFqWqrGZAo5c1eGHuDgczUd9v6aQ1XAZe4RShENKrFl
